unit,geo\time,2022Q2 ,2022Q1 ,2021Q4 ,2021Q3 ,2021Q2 ,2021Q1 ,2020Q4 ,2020Q3 ,2020Q2 ,2020Q1 ,2019Q4 ,2019Q3 ,2019Q2 ,2019Q1 ,2018Q4 ,2018Q3 ,2018Q2 ,2018Q1 ,2017Q4 ,2017Q3 ,2017Q2 ,2017Q1 ,2016Q4 ,2016Q3 ,2016Q2 ,2016Q1 ,2015Q4 ,2015Q3 ,2015Q2 ,2015Q1 ,2014Q4 ,2014Q3 ,2014Q2 ,2014Q1 ,2013Q4 ,2013Q3 ,2013Q2 ,2013Q1 ,2012Q4 ,2012Q3 ,2012Q2 ,2012Q1 ,2011Q4 ,2011Q3 ,2011Q2 ,2011Q1 ,2010Q4 ,2010Q3 ,2010Q2 ,2010Q1 ,2009Q4 ,2009Q3 ,2009Q2 ,2009Q1 ,2008Q4 ,2008Q3 ,2008Q2 ,2008Q1 ,2007Q4 ,2007Q3 ,2007Q2 ,2007Q1 ,2006Q4 ,2006Q3 ,2006Q2 ,2006Q1 ,2005Q4 ,2005Q3 ,2005Q2 ,2005Q1 ,2004Q4 ,2004Q3 ,2004Q2 ,2004Q1
MIO_PKM,LT,102 ,72 ,85 ,96 ,71 ,35 ,44 ,82 ,41 ,71 ,84 ,93 ,95 ,86 ,91 ,97 ,92 ,75 ,78 ,84 ,84 ,69 ,69 ,79 ,70 ,61 ,63 ,73 ,67 ,58 ,66 ,76 ,69 ,59 ,65 ,77 ,72 ,64 ,68 ,78 ,72 ,61 ,66 ,76 ,69 ,58 ,61 ,70 ,61 ,52 ,52 ,69 ,57 ,53 ,64 ,82 ,60 ,52 ,56 ,78 ,61 ,51 ,55 ,91 ,64 ,58 ,67 ,87 ,64 ,62 ,69 ,83 ,67 ,88
MIO_PKM,LU,93 ,95 ,92 ,67 ,77 ,67 ,82 ,59 ,25 ,104 ,126 ,101 ,116 ,120 ,124 ,87 ,111 ,120 ,114 ,103 ,109 ,111 ,105 ,94 ,107 ,111 ,112 ,97 ,104 ,106 ,97 ,89 ,88 ,92 ,99 ,90 ,98 ,98 ,99 ,86 ,92 ,97 ,88 ,79 ,: c,: c,91 ,82 ,84 ,89 ,87 ,75 ,82 ,88 ,90 ,77 ,90 ,88 ,84 ,69 ,80 ,84 ,78 ,66 ,74 ,79 ,73 ,56 ,71 ,72 ,71 ,56 ,67 ,73
MIO_PKM,LV,140 ,92 ,91 ,122 ,88 ,60 ,84 ,133 ,72 ,124 ,154 ,180 ,169 ,140 ,151 ,175 ,164 ,133 ,145 ,167 ,153 ,131 ,141 ,165 ,154 ,124 ,138 ,169 ,152 ,132 ,150 ,183 ,165 ,146 ,169 ,205 ,188 ,158 ,174 ,200 ,186 ,157 ,177 ,210 ,190 ,156 ,176 ,204 ,189 ,172 ,164 ,192 ,199 ,193 ,222 ,272 ,240 ,207 ,237 ,274 ,254 ,217 ,264 ,279 ,239 ,204 ,223 ,257 ,222 ,187 ,201 ,232 ,202 ,176
MIO_PKM,ME,: ,7 ,8 ,16 ,9 ,4 ,6 ,9 ,3 ,10 ,13 ,24 ,17 ,12 ,14 ,23 ,17 ,12 ,13 ,20 ,14 ,13 ,17 ,31 ,19 ,17 ,18 ,27 ,21 ,15 ,17 ,23 ,18 ,17 ,17 ,28 ,16 ,12 ,13 ,26 ,15 ,8 ,13 ,23 ,17 ,13 ,15 ,33 ,19 ,24 ,19 ,35 ,26 ,20 ,27 ,45 ,31 ,23 ,21 ,42 ,28 ,20 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,MK,12 ,6 ,7 ,7 ,6 ,6 ,6 ,7 ,3 ,10 ,17 ,14 ,16 ,15 ,16 ,14 ,18 ,16 ,17 ,15 ,15 ,12 ,19 ,19 ,19 ,27 ,78 ,61 ,23 ,16 ,24 ,22 ,18 ,17 ,20 ,21 ,21 ,19 ,22 ,24 ,24 ,29 ,36 ,36 ,38 ,35 ,40 ,39 ,40 ,35 ,40 ,36 ,41 ,37 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,NL,4654 ,3319 ,3738 ,3168 ,2368 ,1579 ,2024 ,2086 ,1049 ,4006 ,5152 ,4621 ,4885 ,4695 ,5038 ,4507 ,4770 ,4581 ,4923 ,4392 ,4656 ,4466 ,4809 ,4278 ,4541 ,4352 ,4695 ,4163 ,4427 ,4238 ,5336 ,4811 ,5041 ,4817 ,5126 ,4561 ,4790 ,4567 ,5088 ,4420 ,3900 ,4363 ,4625 ,4072 ,4376 ,4406 ,4535 ,4040 ,4211 ,4114 ,4481 ,4007 ,4152 ,3815 ,4379 ,3932 ,4186 ,3846 ,4257 ,3813 ,3981 ,3832 ,4160 ,3727 ,4006 ,3803 ,4102 ,3565 ,3792 ,3524 ,3823 ,: c,: c,: c
MIO_PKM,NO,955 ,600 ,585 ,452 ,318 ,242 ,336 ,416 ,273 ,762 ,958 ,926 ,967 ,960 ,974 ,926 ,948 ,911 ,926 ,907 ,886 ,886 ,871 ,969 ,931 ,902 ,861 ,921 ,903 ,878 ,858 ,898 ,868 ,829 ,807 ,832 ,831 ,790 ,784 ,765 ,772 ,783 ,735 ,788 ,701 ,724 ,822 ,808 ,712 ,691 ,776 ,796 ,716 ,705 ,779 ,803 ,731 ,718 ,741 ,750 ,747 ,753 ,725 ,674 ,658 ,683 ,678 ,673 ,697 ,652 ,670 ,661 ,654 ,679
MIO_PKM,PL,6031 ,4458 ,4439 ,5496 ,3326 ,2485 ,2409 ,4123 ,1651 ,4338 ,5341 ,6280 ,5452 ,4901 ,5065 ,6062 ,5237 ,4599 ,4711 ,5591 ,5108 ,4538 ,4568 ,5391 ,4631 ,3710 ,4232 ,4877 ,4211 ,3705 ,3610 ,4338 ,3820 ,3693 ,3872 ,4619 ,4153 ,3829 ,4061 ,4751 ,4350 ,3989 ,4218 ,4947 ,4484 ,3999 ,4357 ,4912 ,4396 ,3955 ,4201 ,5170 ,4645 ,4177 ,4563 ,5631 ,4956 ,4508 ,4621 ,5594 ,4755 ,4178 ,4341 ,5208 ,4635 ,4205 ,4308 ,5116 ,4291 ,3964 ,4329 ,5101 ,4590 ,4190
MIO_PKM,PT,1145 ,903 ,968 ,844 ,674 ,407 ,628 ,668 ,283 ,973 ,1273 ,1354 ,1274 ,1063 ,1085 ,1211 ,1157 ,1036 ,1089 ,1171 ,1132 ,1000 ,1035 ,1104 ,1063 ,943 ,982 ,1042 ,996 ,919 ,957 ,1021 ,978 ,896 ,920 ,957 ,938 ,835 ,901 ,978 ,978 ,945 ,989 ,1086 ,1063 ,1006 ,1025 ,1062 ,1045 ,979 ,1029 ,1084 ,1056 ,983 ,1039 ,1108 ,1062 ,1003 ,1020 ,1029 ,995 ,943 ,964 ,996 ,992 ,924 ,948 ,955 ,955 ,894 ,931 ,964 ,938 ,858
MIO_PKM,RO,1469 ,977 ,922 ,1415 ,937 ,830 ,785 ,1130 ,592 ,1102 ,1386 ,1684 ,1451 ,1215 ,1329 ,1617 ,1354 ,1126 ,1490 ,1579 ,1383 ,1104 ,1073 ,1489 ,1175 ,993 ,1151 ,1517 ,1228 ,1015 ,1163 ,1531 ,1233 ,1043 ,989 ,1367 ,1090 ,905 ,1069 ,1400 ,1165 ,884 ,1105 ,1553 ,1294 ,1092 ,1208 ,1537 ,1350 ,1153 ,1330 ,1769 ,1532 ,1344 ,1566 ,2065 ,1715 ,1531 ,1651 ,2134 ,1879 ,1753 ,1929 ,2390 ,1982 ,1765 ,1902 ,2353 ,1843 ,1862 ,2031 ,2657 ,2153 ,1792
MIO_PKM,RS,: ,: c,: c,: c,: c,: c,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,:
